ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,What word best describes this sound? ,On a scale from 1 to 5 how loud was this sound?,What kind of sound is this? ,Other - What kind of sound is this? ,On a scale from 1 to 5 how loud was this sound? (from most faint to loudest),Is there anything else we need to know about this sound? ,Are you outdoors or indoors? ,"What level are you on?  (0 = ground, 9= 9th floor or higher)",x,y
70,c7a7da3d-94a5-4426-95b2-0a5209871f72,4/11/2022 4:59:08 PM,adsp22_as13966,4/11/2022 4:59:08 PM,adsp22_as13966,IM project,,Machine,,4,Students working on IM project in Unix Lab,Indoors,3,54.4341640487729,24.5240503627454
71,a2b34e7e-3cbe-4b57-aa3a-4bc276f7d702,4/11/2022 5:21:44 PM,adsp22_po524,4/11/2022 5:21:44 PM,adsp22_po524,My screams,,Human,,4,"I was very happy about my capstone working after 2 years of failure, that the guard jumped in to ask me if I was hurt.",Indoors,0,54.4342529984585,24.5237584163557
72,9626525c-067e-490f-af09-965f9cdbefed,4/13/2022 7:50:24 PM,adsp22_po524,4/13/2022 7:50:24 PM,adsp22_po524,Hum of the freezer in NY pizzeria,,Machine,,2,,Indoors,2,54.4337682432466,24.5244206170782
73,eaf700b5-c594-4605-9815-7ae78ad60446,4/18/2022 6:51:52 AM,adsp22_amd1139,4/18/2022 6:51:52 AM,adsp22_amd1139,AC whirring ,,Machine,,2,A4 - 002,Indoors,0,54.4342613362431,24.5238209335156
74,fa5acc0d-5163-4882-a1c3-67ce9109c09a,4/18/2022 1:49:57 PM,adsp22_gkm267,4/18/2022 1:49:57 PM,adsp22_gkm267,Conveyor belt,,Machine,,2,,Indoors,1,54.4347356399001,24.5246504175853
75,33a8a7b7-bda7-4816-bcfd-fa0e1b140ae6,4/18/2022 1:52:11 PM,adsp22_gkm267,4/18/2022 1:52:11 PM,adsp22_gkm267,Beeps,,Machine,,Faint 1,,Indoors,1,54.4345715510847,24.52421789655
76,4d0e94a6-7817-4dca-8859-2991aee81f9e,4/18/2022 2:08:48 PM,adsp22_gkm267,4/18/2022 2:08:48 PM,adsp22_gkm267,Cashier beeps and Receipt rips,,Machine,,2,,Indoors,1,54.4341365155933,24.5240283469536
77,cc0b7720-6fed-4aea-bbb9-7ba33a1d100d,4/18/2022 2:08:53 PM,adsp22_gkm267,4/18/2022 2:08:53 PM,adsp22_gkm267,"Ping pong balls bouncing and yelling 
",,Human,,4,,Indoors,2,54.4348179359266,24.5236037499256
78,fef165b2-58e2-4034-9083-bf65d3b01fca,4/18/2022 3:07:34 PM,adsp22_po524,4/18/2022 3:07:34 PM,adsp22_po524,Watch ,,Machine,,Faint 1,My watch tick,Indoors,3,54.4348392671584,24.5225710758448
79,c636778b-e423-4efa-b472-3a764e1f2d38,4/18/2022 4:15:38 PM,adsp22_ka1914,4/18/2022 4:15:38 PM,adsp22_ka1914,Traffic,,Machine,,2,"I live on the 7th floor, but I can still hear the cars through my windows",Indoors,7,54.434504133564,24.5226637564148
80,533106f0-6d36-47cf-b40a-16dc7fa007db,4/18/2022 7:20:26 PM,adsp22_gkm267,4/18/2022 7:20:26 PM,adsp22_gkm267,Rumbling and shaking from dryers,,Machine,,3,,Indoors,2,54.4353748914247,24.5222242612774
81,61afc59a-16d3-42e5-82ab-5c9784c168df,4/18/2022 8:04:49 PM,adsp22_gkm267,4/18/2022 8:04:49 PM,adsp22_gkm267,Music,,Machine,,Faint 1,,Indoors,4,54.4356587808086,24.5229470548132
82,f1b4efbd-f676-46f7-997e-afce05a99633,4/18/2022 8:04:50 PM,adsp22_gkm267,4/18/2022 8:04:50 PM,adsp22_gkm267,Grasshoppers and cars far away,,Natural,,2,,Outdoors,2,54.4352003646349,24.5222891573738
83,820b8146-02be-458c-ae27-66f35bae5844,4/18/2022 8:24:17 PM,adsp22_sl7362,4/18/2022 8:24:17 PM,adsp22_sl7362,Laundry machine,,Machine,,4,,Indoors,2,54.4332173409138,24.5242096507088
84,3aa5b190-e1cc-4446-a3a8-5a1009fb8d29,4/18/2022 8:25:24 PM,adsp22_sl7362,4/18/2022 8:25:24 PM,adsp22_sl7362,Crickets,,Natural,,Faint 1,,Outdoors,2,54.4333661684201,24.5242243476623
85,d1172a95-7c15-4704-8065-477f5a9611c3,4/18/2022 8:25:57 PM,adsp22_sl7362,4/18/2022 8:25:57 PM,adsp22_sl7362,Sports car,,Machine,,Faint 1,,Outdoors,2,54.4335754797096,24.5239142398146
